player,fname,lname,conference,college,games,years,receptions,rec_yards,rec_td,team_games,team_rec,team_rec_yards,team_td,share_yards,share_tds,games_missed,height,weight,dob,speed_score,year,nfl_yards_game
AA-1100,Aundrae,Allison,24312,East Carolina,21,2,145,1732,11,23,473,5864,27,0.29536152796725784,0.4074074074074074,2,72,198,1986-04-20,106.6196137697109,1986,10.5714
AA-1700,Adrian,Arrington,827,Michigan,26,2,107,1426,16,24,431,5414,47,0.26339120797931287,0.3404255319148936,-2,75,192,1985-11-07,89.59538453109731,1985,26.2
AB-1200,Arrelious,Benn,827,Illinois,36,3,159,2221,7,36,589,7742,52,0.28687677602686645,0.1346153846153846,0,73,220,1988-09-08,100.8760053944435,1988,22.7442
AB-1700,Armon,Binns,823,Cincinnati,27,4,138,2008,21,49,1138,14405,128,0.1393960430406109,0.1640625,22,75,209,1989-09-08,101.93568053650358,1989,30.7778
AB-3500,Antonio,Brown,25354,Kansas State,2,1,2,9,0,12,214,2610,10,0.0034482758620689655,0,10,70,186,1988-07-10,86.03666530535573,1988,81.9273
AB-3500,Antonio,Brown,875,Central Michigan,41,3,305,3199,22,38,1008,11088,84,0.288510101010101,0.2619047619047619,-3,70,186,1988-07-10,86.03666530535573,1988,81.9273
AB-3500,Antonio,Brown,876,Hampton,1,1,0,0,0,12,188,2128,20,0,0,11,70,186,1988-07-10,86.03666530535573,1988,81.9273
AC-0100,Andre,Caldwell,911,Florida,38,4,166,2175,16,47,980,12626,110,0.17226358308252812,0.14545454545454545,9,72,200,1985-04-15,111.7128067614037,1985,16.9787
AC-2100,Austin,Collie,99001,Brigham Young,25,2,162,2484,22,24,638,7914,61,0.31387414708112205,0.36065573770491804,-1,72,200,1985-11-11,92.51254333909218,1985,43.549
AC-2350,Amari,Cooper,911,Alabama,37,3,219,3392,29,38,773,10565,95,0.3210601041173687,0.30526315789473685,1,73,211,1994-06-17,122.29349881099967,1994,66.4848
AD-1450,Aaron,Dobson,24312,Marshall,39,4,165,2398,24,48,1139,12469,97,0.19231694602614485,0.24742268041237114,9,75,210,1991-06-13,115.16580364497754,1991,33.2273
AG-1100,Anthony,Gonzalez,827,Ohio State,28,3,87,1286,13,34,584,7619,63,0.1687885549284683,0.20634920634920634,6,72,193,1984-09-18,99.3242796953008,1984,43.6176
AG-1500,A.J.,Green,911,Georgia,32,3,166,2619,23,36,654,9384,76,0.2790920716112532,0.3026315789473684,4,76,211,1988-07-31,112.59049928283584,1988,82.7753
AH-1900,Andrew,Hawkins,875,Toledo,12,1,29,246,0,12,243,2886,19,0.08523908523908524,0,0,67,175,1986-03-10,95.09804793721617,1986,32.3947
